Model,BatchSize,LearningRate,Epochs,Top1Accuracy,Top5Accuracy,LearningTime
resnet50,64,0.001,150,0.486,0.7457,0 days 00:17:19.381106
resnet50,64,0.001,100,0.4782,0.7423,0 days 00:11:33.449355
resnet50,64,0.001,50,0.4454,0.7179,0 days 00:05:47.629301
resnet50,64,0.01,150,0.5782,0.8171,0 days 00:17:20.335647
resnet50,64,0.01,100,0.5319,0.7932,0 days 00:11:31.617775
resnet50,64,0.01,50,0.4903,0.7869,0 days 00:05:46.513092
resnet50,64,0.1,150,0.5377,0.815,0 days 00:17:17.523201
resnet50,64,0.1,100,0.4112,0.7234,0 days 00:11:31.039640
resnet50,64,0.1,50,0.1882,0.4606,0 days 00:05:46.200793
resnet50,32,0.001,150,0.5508,0.7917,0 days 00:27:57.164141
resnet50,32,0.001,100,0.5437,0.7884,0 days 00:18:36.602004
resnet50,32,0.001,50,0.4752,0.7605,0 days 00:09:18.279983
resnet50,32,0.01,150,0.6074,0.8449,0 days 00:27:53.530000
resnet50,32,0.01,100,0.5668,0.8291,0 days 00:18:37.108677
resnet50,32,0.01,50,0.4585,0.766,0 days 00:09:21.725927
resnet50,32,0.1,150,0.0697,0.2512,0 days 00:27:59.797935
resnet50,32,0.1,100,0.01,0.0499,0 days 00:18:37.227091
resnet50,32,0.1,50,0.0222,0.0968,0 days 00:09:17.552747
resnet18,64,0.001,150,0.5144,0.771,0 days 00:07:03.767405
resnet18,64,0.001,100,0.5147,0.7719,0 days 00:04:43.340978
resnet18,64,0.001,50,0.4866,0.7695,0 days 00:02:21.529104
resnet18,64,0.01,150,0.5715,0.8126,0 days 00:07:03.336285
resnet18,64,0.01,100,0.5506,0.8046,0 days 00:04:44.753140
resnet18,64,0.01,50,0.51,0.7968,0 days 00:02:20.793958
resnet18,64,0.1,150,0.5406,0.8176,0 days 00:07:03.456777
resnet18,64,0.1,100,0.4421,0.7528,0 days 00:04:43.619120
resnet18,64,0.1,50,0.2734,0.5772,0 days 00:02:21.205272
resnet18,32,0.001,150,0.5495,0.796,0 days 00:12:42.349968
resnet18,32,0.001,100,0.5477,0.8004,0 days 00:08:30.953606
resnet18,32,0.001,50,0.513,0.7903,0 days 00:04:17.185518
resnet18,32,0.01,150,0.5931,0.8306,0 days 00:12:44.112193
resnet18,32,0.01,100,0.5499,0.8197,0 days 00:08:35.264205
resnet18,32,0.01,50,0.474,0.774,0 days 00:04:17.341832
resnet18,32,0.1,150,0.25,0.5724,0 days 00:12:38.282953
resnet18,32,0.1,100,0.1484,0.4277,0 days 00:08:34.066008
resnet18,32,0.1,50,0.0531,0.2238,0 days 00:04:18.903670
